City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
353,Biloela,AU,88.88,-24.4167,150.5,Biloela Silo Motor Inn
354,The Valley,AI,77.09,18.217,-63.0578,CeBlue Villas & Beach Resort
355,Kudat,MY,84.02,6.8837,116.8477,Dream Garden Hotel
356,Oak Ridge,US,37.69,36.0104,-84.2696,DoubleTree by Hilton Hotel Oak Ridge - Knoxville
357,Locri,IT,51.82,38.2414,16.2623,Grand Hotel President
358,Tezu,IN,67.1,27.9167,96.1667,Circuit House
359,Mittagong,AU,69.62,-34.45,150.45,Mittagong Motel
360,Neuquen,AR,75.94,-38.9516,-68.0591,Hotel del Comahue
361,Sibiti,CG,68.92,-3.6819,13.3499,"LE PAPYRUS (hôtel, bar et restaurant)"
362,Broome,US,32.0,42.2506,-75.833,Chenango Valley State Park
363,Sri Aman,MY,84.56,1.2376,111.4621,Seri Simanggang Hotel
364,Dwarka,IN,71.62,22.2394,68.9678,Hotel Narayan Avezika Comfort
365,Ukiah,US,54.37,39.1502,-123.2078,Hampton Inn Ukiah
366,Sao Felix Do Xingu,BR,70.95,-6.6447,-51.995,Rio Xingu Camping
367,Jalu,LY,55.65,29.0331,21.5482,صاحبة الفخامة
368,Sibolga,ID,86.0,1.7427,98.7792,Hotel Syariah CN Darussalam
370,Imeni Babushkina,RU,20.01,59.7573,43.1285,"Gostevoy Dom ""Usol'ye"""
371,Banda Aceh,ID,84.36,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
372,Isla Mujeres,MX,68.16,21.2311,-86.731,Hotel La Joya Isla Mujeres
373,Sur,OM,69.57,22.5667,59.5289,Sur Plaza Hotel
374,Nabire,ID,84.69,-3.3667,135.4833,Hotel Nusantara Nabire
375,Pringsewu,ID,85.24,-5.3582,104.9744,Urban Style by Front One
376,Bonavista,CA,24.12,48.6499,-53.1147,Sweet Sharons bnb
377,Killybegs,IE,45.45,54.6333,-8.45,Tara Hotel
378,Ipanema,BR,69.73,-30.1391,-51.2244,Motel da Barra
379,Berlevag,NO,24.8,70.8578,29.0864,Kvitbrakka
380,Jiaxing,CN,39.22,30.7522,120.75,嘉兴富悦大酒店
383,Zubova Polyana,RU,27.09,54.0771,42.8372,Ромашка
384,Marienburg,PL,37.06,54.0359,19.0266,Hotel Centrum Malbork
385,Isangel,VU,80.82,-19.55,169.2667,Tanna Lodge
386,Zarya,RU,34.18,55.7553,38.0958,Hotel Dali
387,Bambanglipuro,ID,87.93,-7.95,110.2833,Puri Brata
389,Poitiers,FR,35.67,46.5833,0.3333,ibis Poitiers Centre
390,Hammerfest,NO,30.65,70.6634,23.6821,Skytterhuset
391,Gonaives,HT,74.26,19.45,-72.6833,Vertières Doux Séjour
392,Lorengau,PG,85.37,-2.0226,147.2712,Lorengau Harbourside Hotel
393,Guerrero Negro,MX,64.04,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
394,Haapiti,PF,83.93,-17.5667,-149.8667,Linareva Moorea Beach Resort
395,Doha,QA,62.58,25.2867,51.5333,Movenpick Hotel Doha
397,Maymyo,MM,65.57,22.0333,96.4667,Tiger Hotel
398,Ayr,GB,46.38,55.4627,-4.6339,Mercure Ayr Hotel
399,Mayumba,GA,76.42,-3.432,10.6554,LIKWALE LODGE
400,Selenginsk,RU,12.61,52.0064,106.8647,Selenga
401,Catio,GW,69.76,11.2833,-15.25,Pausada Morabedja
402,Klaksvik,FO,34.72,62.2266,-6.589,Airbnb rooms
403,Lasa,IT,31.03,46.6166,10.7002,Pension Feldgärtenhof
404,Te Anau,NZ,74.28,-45.4167,167.7167,Kingsgate Hotel Te Anau
405,Muscat,OM,68.02,23.6139,58.5922,Mutrah Hotel
406,Nipawin,CA,35.71,53.3668,-104.0009,Tobin Lake Motel
407,Makat,KZ,28.09,47.6469,53.3463,Umit
408,Ankazoabo,MG,72.21,-22.2833,44.5167,ENCEIN BUREAU CISCO
409,Grimshaw,CA,39.02,56.1834,-117.6027,Coast Grimshaw Hotel & Suites
410,Samarai,PG,82.47,-10.6167,150.6667,Nuli Sapi
411,Nishihara,JP,71.26,26.1842,127.7558,Minshuku Agaihama
412,Polignano A Mare,IT,50.18,40.9959,17.2159,Grotta Palazzese
413,Grand Forks,US,17.53,47.9417,-97.4337,Warrior Inn
414,Garowe,SO,67.3,8.4054,48.4845,Curubo Hotel
415,Bagotville,AU,76.64,-28.9833,153.4167,Broadwater Sunrise Caravan Park
416,Yulara,AU,94.84,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
418,Amos,CA,19.18,48.5669,-78.1162,"Amosphère, complexe hôtelier"
419,Keuruu,FI,24.75,62.2667,24.7,Hostelli Nonna
420,Mwingi,KE,68.85,-0.9344,38.0601,Thorn Tree by The Address
421,Penzance,GB,51.01,50.1186,-5.5371,Artist Residence Penzance
422,Otane,NZ,69.39,-39.8833,176.6333,Ludlow Farmstay
423,Fivizzano,IT,45.79,44.2383,10.126,Encanto Di Arlia
424,Bharatpur,IN,67.15,27.2167,77.4833,OYO 22446 Sonar Haveli
425,Pafos,CY,58.91,34.7667,32.4167,Elysium Hotel
426,Houma,US,48.0,29.5958,-90.7195,Courtyard by Marriott Houma
427,Dawlatabad,AF,43.02,36.4141,64.9053,WASIM ASGAR KHAN
428,Petrinja,HR,36.12,45.4375,16.29,Gostionica Mis
429,Ilo,PE,68.88,-17.6394,-71.3375,Torreblanca Hotel
430,Nikki,BJ,69.8,9.9401,3.2108,Hotel John
431,Dalianwan,CN,41.04,39.0286,121.695,Huanghai Hotel
433,Buraydah,SA,53.46,26.326,43.975,Mövenpick Qassim
435,Kloulklubed,PW,84.7,7.0419,134.2556,Storyboard Beach Resort
436,Sterling,US,39.15,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
437,Plouzane,FR,50.32,48.3833,-4.6167,Lymina
438,Vao,NC,80.38,-22.6667,167.4833,Hotel Kou-Bugny
439,Acara,BR,72.07,-1.9608,-48.1967,Hotel Vale do Acará
440,Salalah,OM,71.69,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
441,La Asuncion,VE,76.23,11.0333,-63.8628,Colinas de Matasiete
442,Constitucion,CL,58.68,-35.3333,-72.4167,Hotel Boutique Las Azucenas
443,Kirzhach,RU,31.98,56.15,38.8667,Guest House Admyralskie Bany
444,Xai-Xai,MZ,76.01,-25.0519,33.6442,Complexo da Familia
445,Tevaitoa,PF,81.09,-16.7833,-151.5,Hôtel Raiatea Lodge
446,Bawal,IN,64.81,28.0833,76.5833,Hotel Green Orch
447,Hervey Bay,AU,82.04,-25.2986,152.8535,Shelly Bay Resort
448,Srivardhan,IN,76.1,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
449,Ketchikan,US,39.67,55.3422,-131.6461,Snow's Cove Lodge
450,Kavaratti,IN,78.57,10.5669,72.642,Hotels in Lakshadweep Islands
451,Mizdah,LY,47.79,31.4451,12.9801,محمدالمبروك الاريقط
452,Coahuayana,MX,68.59,18.7333,-103.6833,El rranchito michuacan de ocampos
453,Sugod,PH,79.16,12.987,124.0805,Musngi Garage
454,Wajima,JP,37.89,37.4,136.9,Wajiima Onsen Yashio
455,Dryden,CA,10.69,49.7833,-92.7503,"Holiday Inn Express Dryden, an IHG Hotel"
456,Camacha,PT,58.42,33.0833,-16.3333,Hotel Porto Santo & Spa
457,Bilma,NE,57.81,18.6853,12.9164,Expeditions Ténére voyages
458,Marsh Harbour,BS,73.54,26.5412,-77.0636,Abaco Beach Resort
459,La Libertad,EC,74.8,-2.2333,-80.9,Playa Canela Hotel Boutique
460,Kitimat,CA,40.91,54.0524,-128.6534,Kingfish Westcoast Adventures Ltd. Kitimat Estuary Lodge B&B
461,Puerto Vallarta,MX,69.71,20.6204,-105.2307,Sunset Plaza Beach Resort & Spa
462,Makakilo City,US,73.72,21.3469,-158.0858,Marriott's Ko Olina Beach Club
463,Coquimbo,CL,62.33,-29.9533,-71.3436,Hotel San Juan
464,Baker City,US,39.65,44.7749,-117.8344,Bridge Street Inn
465,Kalemie,CD,69.76,-5.9475,29.1947,Mahobilali
466,Abdulino,RU,12.56,53.7,53.6667,Hotel Lazur
467,Launceston,AU,80.62,-41.45,147.1667,Hotel Grand Chancellor Launceston
468,Ternate,ID,80.53,0.8,127.4,Sahid Bela Ternate Hotel
469,Gladstone,AU,82.33,-23.85,151.25,Highpoint International Hotel
470,Maracaju,BR,60.82,-21.6144,-55.1683,Maracaju Plaza Hotel - Hospedagem - Maracaju/MS
471,Mnogovershinnyy,RU,9.68,53.9353,139.9242,Obshchezhitiye 14
472,Fortaleza,BR,81.21,-3.7227,-38.5247,Hotel Sonata de Iracema
473,Dalby,AU,87.98,-27.1833,151.2667,Kobbers Motor Inn Dalby
474,Los Llanos De Aridane,ES,58.75,28.6585,-17.9182,Valle Aridane
475,Manta,EC,76.78,-0.95,-80.7333,Balandra Hotel
476,Ahipara,NZ,77.07,-35.1667,173.1667,Ahipara Holiday Park
478,Whitehorse,CA,29.17,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
481,Panzhihua,CN,63.59,26.5851,101.7128,Electric Power Hotel
482,Pahrump,US,53.31,36.2083,-115.9839,Best Western Pahrump Oasis
483,Maceio,BR,74.64,-9.6658,-35.7353,Hotel Ponta Verde Maceió
484,Lebedyn,UA,32.77,50.5852,34.4849,"The regional Children's multi-resort ""Lebedin"""
485,Mount Isa,AU,91.17,-20.7333,139.5,ibis Styles Mt Isa Verona
486,Ilheus,BR,75.22,-14.7889,-39.0494,Barravento Hotel
487,Hit,IQ,50.54,33.6416,42.8251,صالون زيرو
488,Robertsport,LR,78.66,6.7533,-11.3686,Kwepunha Retreat
489,Darnah,LY,56.8,32.767,22.6367,فندق الفردوس
490,Sorong,ID,83.23,-0.8833,131.25,Waigo Splash Hotel
491,Korla,CN,28.33,41.7597,86.1469,Gulisitan Hotel
492,Yertsevo,RU,14.2,60.7966,40.086,Дом
493,Ostersund,SE,28.62,63.1792,14.6357,Best Western Hotel Gamla Teatern
494,Ugoofaaru,MV,80.71,5.6667,73.0,Ungoofaaru Inn
495,Olafsvik,IS,31.32,64.8945,-23.7142,Hotel Olafsvik
496,Peterhead,GB,45.0,57.5058,-1.7981,Palace Hotel
497,Husavik,IS,30.11,66.0449,-17.3389,Bjarnabúð
498,Abu Dhabi,AE,68.11,24.4667,54.3667,Beach Rotana
499,Mahebourg,MU,82.69,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
500,Timra,SE,31.68,62.487,17.3257,Bergefors park
501,San Quintin,MX,59.52,30.4833,-115.95,Don Eddie's Sport Fishing Center
502,Christchurch,NZ,67.48,-43.5333,172.6333,The George
503,Abu Kamal,SY,54.34,34.4506,40.9171,محطة التلفاز
504,Matara,LK,84.38,5.9485,80.5353,Amaloh Boutique Resort
505,Morehead,US,29.14,37.2711,-87.1764,CCI Express Inn
506,San Ramon,US,57.9,37.7799,-121.978,San Ramon Marriott
507,Newton,US,42.55,42.337,-71.2092,Sheraton Boston Needham Hotel
508,Saravena,CO,75.34,6.9538,-71.8752,Hotel Diamante Saravena
509,Ferme-Neuve,CA,24.58,46.7001,-75.4493,Pourvoirie Club Fontbrune Ltee
510,San Rafael,AR,72.91,-34.6177,-68.3301,Hotel San Rafael
511,Iracoubo,GF,76.33,5.4802,-53.2011,Le Gîte d’Iracoubo
512,Collie,AU,70.99,-33.3667,116.15,Collie Ridge
513,Cardoso,BR,69.75,-20.0819,-49.9142,EmilioTur Pescaria
514,Myitkyina,MM,73.51,25.3833,97.4,Shwe Phyu Hotel
516,Manono,CD,68.86,-7.3,27.4167,Hotel hewa bora
518,Awjilah,LY,55.54,29.1081,21.2869,المنزل
