City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
201,Torbay,47.6666,-52.7314,23.76,87,100,3.0,CA,2022-02-08 05:07:41,overcast clouds
202,Georgetown,5.4112,100.3354,91.33,75,20,12.66,MY,2022-02-08 05:03:45,few clouds
203,Olinda,-8.0089,-34.8553,82.13,69,40,4.61,BR,2022-02-08 05:07:21,scattered clouds
204,Independence,39.0911,-94.4155,44.1,64,0,11.5,US,2022-02-08 05:07:42,clear sky
205,Emerald,-23.5333,148.1667,87.35,36,40,5.61,AU,2022-02-08 05:07:42,scattered clouds
206,Braganca,-1.0536,-46.7656,72.86,98,73,0.56,BR,2022-02-08 05:07:42,broken clouds
207,Clyde River,70.4692,-68.5914,-36.92,71,40,3.36,CA,2022-02-08 05:07:43,scattered clouds
208,Nerchinskiy Zavod,51.3088,119.61,1.98,94,100,3.58,RU,2022-02-08 05:07:43,light snow
209,Ibra,22.6906,58.5334,63.39,58,5,2.84,OM,2022-02-08 05:07:44,clear sky
210,Panaba,21.2833,-88.2667,69.24,92,40,4.05,MX,2022-02-08 05:07:44,scattered clouds
211,Kiev,50.4333,30.5167,34.72,82,40,11.18,UA,2022-02-08 05:07:44,light snow
212,Saint-Louis,16.3333,-15.0,72.84,13,0,9.95,SN,2022-02-08 05:07:45,clear sky
213,Duiwelskloof,-23.6934,30.14,67.42,73,66,2.75,ZA,2022-02-08 05:05:04,broken clouds
214,Mgachi,51.05,142.2667,11.35,95,100,9.42,RU,2022-02-08 05:07:45,light snow
215,Misratah,32.3754,15.0925,57.04,75,7,19.66,LY,2022-02-08 05:07:46,clear sky
216,Dubai,25.2582,55.3047,71.22,49,40,11.5,AE,2022-02-08 05:06:16,scattered clouds
217,Aldan,58.6031,125.3894,0.86,88,100,1.45,RU,2022-02-08 05:07:46,overcast clouds
218,Batagay-Alyta,67.8006,130.4114,-24.11,94,74,2.35,RU,2022-02-08 05:07:47,broken clouds
219,West Wendover,40.7391,-114.0733,35.2,49,5,1.01,US,2022-02-08 05:07:47,clear sky
220,Vinni,59.2958,26.4322,28.31,95,100,7.72,EE,2022-02-08 05:07:48,overcast clouds
221,Soe,-9.8607,124.284,78.35,74,38,4.99,ID,2022-02-08 05:07:48,scattered clouds
222,Khasan,42.4308,130.6434,30.51,42,2,8.08,RU,2022-02-08 05:07:49,clear sky
223,Praia,14.9215,-23.5087,64.94,88,20,6.91,CV,2022-02-08 05:07:49,few clouds
